2017-08-14 00:05:11 ; 4207.5 ; TX ; 538003450 ; OVERSEAS YOSEMITE ; V7QW2 ; TEST ; ACK ; Snargate
2017-08-14 01:23:30 ; 2187.5 ; RX ; 308121000 ; CHIQUITA BELGIE ; C6KD7 ; TEST ; REQ ; DORSET_2
2017-08-14 01:23:30 ; 2187.5 ; RX ; 308121000 ; CHIQUITA BELGIE ; C6KD7 ; TEST ; REQ ; DRYDEN-NEFFIES-FRANCE
2017-08-14 01:23:30 ; 2187.5 ; RX ; 308121000 ; CHIQUITA BELGIE ; C6KD7 ; TEST ; REQ ; NL8811
2017-08-14 01:23:31 ; 2187.5 ; RX ; 308121000 ; CHIQUITA BELGIE ; C6KD7 ; TEST ; REQ ; IO75-02
2017-08-14 01:23:31 ; 2187.5 ; RX ; 308121000 ; CHIQUITA BELGIE ; C6KD7 ; TEST ; REQ ; MAJO88BN-#1
2017-08-14 01:23:31 ; 2187.5 ; TX ; 308121000 ; CHIQUITA BELGIE ; C6KD7 ; TEST ; ACK ; Snargate
2017-08-14 01:23:34 ; 2187.5 ; RX ; 308121000 ; CHIQUITA BELGIE ; C6KD7 ; TEST ; REQ ; DORSET_4
2017-08-14 03:50:18 ; 2187.5 ; RX ; 538006281 ; KONKAR VENTURE ; V7LH6 ; TEST ; REQ ; DORSET_2
2017-08-14 03:50:18 ; 2187.5 ; RX ; 538006281 ; KONKAR VENTURE ; V7LH6 ; TEST ; REQ ; NL8811
2017-08-14 03:50:18 ; 2187.5 ; RX ; 538006281 ; KONKAR VENTURE ; V7LH6 ; TEST ; REQ ; MAJO88BN-#1
2017-08-14 03:50:19 ; 2187.5 ; RX ; 538006281 ; KONKAR VENTURE ; V7LH6 ; TEST ; REQ ; IO75-02
2017-08-14 03:50:19 ; 2187.5 ; TX ; 538006281 ; KONKAR VENTURE ; V7LH6 ; TEST ; ACK ; Snargate
2017-08-14 03:50:19 ; 2187.5 ; TX ; 538006281 ; KONKAR VENTURE ; V7LH6 ; TEST ; ACK ; Snargate
2017-08-14 03:50:22 ; 2187.5 ; RX ; 538006281 ; KONKAR VENTURE ; V7LH6 ; TEST ; REQ ; DORSET_4
2017-08-14 03:54:03 ; 6312.0 ; RX ; 538006281 ; KONKAR VENTURE ; V7LH6 ; TEST ; REQ ; IO75-06
2017-08-14 03:54:04 ; 6312.0 ; TX ; 538006281 ; KONKAR VENTURE ; V7LH6 ; TEST ; ACK ; Snargate
2017-08-14 04:57:21 ; 8414.5 ; RX ; 236387000 ; TOVE ; ZDHX3 ; TEST ; REQ ; IO75-08
2017-08-14 04:57:22 ; 8414.5 ; RX ; 236387000 ; TOVE ; ZDHX3 ; TEST ; REQ ; OE3WYC
